host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Private room in Elizabeth,Elizabeth,Private Studio Apt near NJ Airport & Trains to NY,2.0,4.89,245,46.0
SUPERHOST,Entire apartment in Weehawken,Weehawken,Boho studio 15 minutes from Times Square,2.0,4.5,6,60.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Central & Stylish 1 Bedroom Apt - Heart of Chelsea,4.0,5.0,13,85.0
SUPERHOST,Entire townhouse in Williamsburg,Williamsburg,Artistic townhouse with private garden,2.0,na,na,90.0
SUPERHOST,Private room in Flatbush,Flatbush,"Private Bedroom in Artsy Airbnb: Room ""L""",2.0,4.79,190,48.0
SUPERHOST,Private room in South Street Seaport,SouthStreetSeaport,Alohause | Wall St | Marvelous Room + Financial Dt,2.0,na,na,39.0
SUPERHOST,Private room in Manhattan,Manhattan,Master bedroom. 20 min to Time Square!,4.0,4.72,153,42.0
SUPERHOST,Private room in Manhattan,Manhattan,Classic Harlem Getaway - Manhattan,3.0,4.45,240,28.0
SUPERHOST,Entire apartment in Jamaica,Jamaica,"Private Apartment - Downtown Jamaica,Queens - NYC",2.0,4.64,14,53.0
SUPERHOST,Shared room in Hell's Kitchen,Hell'sKitchen,Shared room in Times Square,2.0,4.0,5,28.0
SUPERHOST,Entire loft in Hell's Kitchen,Hell'sKitchen,COZY APARTMENT IN TIMES SQUARE & CENTRAL PARK,4.0,4.48,42,104.0
SUPERHOST,Entire apartment in Hell's Kitchen,Hell'sKitchen,Furnished Studio in a Brand New Building,2.0,na,na,70.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Ideal studio in the heart of NYC,2.0,na,na,60.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Water View King Bed Hotel Room,2.0,na,na,89.0
SUPERHOST,Entire apartment in Midtown,Midtown,Homey studio in the heart of NYC,2.0,na,na,60.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Near Brooklyn Bridge / King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Cozy bedroom in williamsburg,2.0,4.46,104,36.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,King size room with living room area,2.0,na,na,85.0
SUPERHOST,Private room in Alphabet City,AlphabetCity,Alohause | East Village | Terrific & Spotless Room,2.0,na,na,29.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Private Room with a view next to Times Square!,2.0,4.53,95,61.0
SUPERHOST,Private room in Brooklyn,Brooklyn,♥Sunshine of the Spotless Mind room♥,2.0,4.71,163,35.0
SUPERHOST,Entire apartment in Crown Heights,CrownHeights,Air B and B at the Grand Old Mansion,2.0,4.64,76,80.0
SUPERHOST,Entire guest suite in Queens,Queens,"Cozy, sparkle clean private studio!",2.0,4.87,46,75.0
SUPERHOST,Hotel room in Midtown,Midtown,Spacious Manhattan Room Near Times Square,3.0,4.22,101,108.0
SUPERHOST,Entire apartment in Crown Heights,CrownHeights,Beautiful piano Brooklyn condo overlooking park,4.0,4.73,114,58.0
SUPERHOST,Private room in Bushwick,Bushwick,Bright Bedroom in the heart of Bushwick,1.0,na,na,29.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,Spacious Apartment,2.0,4.67,6,75.0
SUPERHOST,Private room in Manhattan,Manhattan,Twin bed-Close to Columbia U & Central Park,2.0,4.73,325,50.0
SUPERHOST,Private room in Bushwick,Bushwick,PUTNAMASTE,2.0,4.97,75,49.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Room with a VIEW next to Times Square!,2.0,4.62,99,64.0
,,,,,,,
SUPERHOST,Room in boutique hotel in Chinatown,boutiquehotelinChinatown,"NoMo SoHo, Premium Queen Room",2.0,4.59,29,132.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Private Room 2,1.0,4.45,127,31.0
SUPERHOST,Entire apartment in Brooklyn Heights,BrooklynHeights,Private 2 Bed Suite in Stunning Brooklyn Heights.,4.0,4.96,26,89.0
SUPERHOST,Private room in Bedford Park,BedfordPark,Medical Pro’s/ Student: Boho-Style Living Space,1.0,4.91,23,45.0
SUPERHOST,Private room in Manhattan,Manhattan,Convenient & Sunny Room Close to Central Park,2.0,4.3,20,43.0
SUPERHOST,Private room in Brooklyn,Brooklyn,"Private room, quiet 2 level Remodeled Brownstone!",1.0,4.85,96,44.0
SUPERHOST,Private room in Brooklyn,Brooklyn,A Little Sumptin' on Sumpter,2.0,4.7,134,28.0
SUPERHOST,Entire place in Kips Bay,KipsBay,Beautiful midtown apartment,2.0,4.88,8,60.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,Fantastic studio in the heart of NYC,2.0,na,na,60.0
SUPERHOST,Entire apartment in Midtown,Midtown,Fantastic midtown apartment,2.0,na,na,60.0
SUPERHOST,Entire serviced apartment in Midtown,Midtown,Pleasant studio in Midtown Manhattan,2.0,na,na,60.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Near South Street Seaport / King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Studio In Herald Square (Midtown),4.0,na,na,43.0
SUPERHOST,Entire apartment in Soho,Soho,Spacious Studio in Little Italy,3.0,4.33,5,75.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,Newly Renovated Apartment in Little Italy,3.0,4.0,3,80.0
SUPERHOST,Private room in Bushwick,Bushwick,"Private Bath + 2 Beds Option, 15 mins to Manhattan",2.0,5.0,17,47.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,Bright Studio in Bowery Street,2.0,na,na,70.0
SUPERHOST,Private room in Kew Garden Hills,KewGardenHills,Beautiful bedroom in Quiet House,2.0,4.87,143,36.0
SUPERHOST,Entire apartment in Midtown,Midtown,Midtown West One Bedroom near Central Park Entrance,3.0,na,na,105.0
SUPERHOST,Private room in Dyker Heights,DykerHeights,"""Beautiful Traveler Room"" Brooklyn Medical Student",1.0,5.0,15,42.0
SUPERHOST,Entire place in Midtown,Midtown,Splendid studio in midtown Manhattan,2.0,5.0,3,60.0
SUPERHOST,Entire apartment in Noho,Noho,Bleecker Street 1-bedroom in NoHo (3R),2.0,na,na,85.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Sunny Room + Many Amenities for an Easy Stay,2.0,4.85,279,42.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Brooklyn Home Away From Home Next to Subway,2.0,na,na,31.0
SUPERHOST,Entire apartment in Bushwick,Bushwick,"Bright, new studio with balcony access",2.0,4.8,66,81.0
SUPERHOST,Private room in Elizabeth,Elizabeth,Beautiful Private Bedroom Newly Renovated,2.0,4.87,23,34.0
SUPERHOST,Shared room in Hell's Kitchen,Hell'sKitchen,“TIME SQUARE” 43rd street SINGLE BED,1.0,4.22,136,36.0
SUPERHOST,Private room in Brooklyn,Brooklyn,"Charming, sunny room in artist's apartment",1.0,4.85,20,50.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,"138 Bowery, King Room",2.0,5.0,3,120.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,Modern Beautiful Bedford Stuyvesant Brownstone,4.0,4.79,203,79.0
SUPERHOST,Private room in Bushwick,Bushwick,Private Bedroom in the heart of Bushwick!,1.0,na,na,29.0
SUPERHOST,Private room in Manhattan,Manhattan,"Safe, simple, quiet and clean room near Chinatown",2.0,na,na,32.0
SUPERHOST,Private room in Bushwick,Bushwick,PRETTY POPULAR ON PUTNAM,2.0,4.91,88,49.0
SUPERHOST,Entire apartment in Kips Bay,KipsBay,"1 Bedroom, Walking Distance to Union Square, Madison Square Park",3.0,na,na,149.0
