host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful 2 Double Bed Hotel Room,4.0,4.33,9,79.0
SUPERHOST,Entire apartment in Midtown,Midtown,Splendid NYC studio apartment,2.0,na,na,60.0
SUPERHOST,Entire apartment in Brooklyn,Brooklyn,"HOME AWAY FROM HOME! 1 Bedroom, Clinton Hill, BK",2.0,na,na,58.0
SUPERHOST,Private room in East Village,EastVillage,Cozy Room in Lively East Village,1.0,4.92,534,43.0
SUPERHOST,Entire apartment in Hell's Kitchen,Hell'sKitchen,Two Bedroom Apartment in Midtown West,4.0,na,na,85.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,Recently renovated apartment with full kitchen,4.0,4.64,22,59.0
SUPERHOST,Private room in Bushwick,Bushwick,"Private Studio+Bath+Balcony, 15 mins to Manhattan",2.0,4.99,138,67.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Nolitan Hotel, Neighborhood Room",2.0,4.14,7,83.0
SUPERHOST,Hotel room in Midtown,Midtown,Queen Room City ADA,2.0,4.74,19,79.0
SUPERHOST,Private room in Washington Heights,WashingtonHeights,Private Bedroom in Manhattan,2.0,4.24,107,31.0
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Gild Hall, Luxury King Room and Complimentary WiFi",2.0,5.0,11,100.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Modern One Bedroom Apartment,2.0,5.0,3,90.0
SUPERHOST,Entire apartment in Union Square,UnionSquare,C☆zy Studio in Union Square Park,2.0,4.65,31,56.0
SUPERHOST,Private room in Brooklyn,Brooklyn,"1st Floor, Room #7 (9' x 12')",2.0,4.63,19,38.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,4.86,7,79.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.77,13,89.0
